acc_chest_x,acc_chest_y,acc_chest_z,activity_name
-9.7788,0.5569,1.1975,Standing still
-9.7733,0.2788,0.73036,Standing still
-9.8609,0.11561,0.79988,Standing still
-9.7409,0.17652,0.88957,Standing still
-9.7821,0.21637,0.90368,Standing still
-9.6911,0.21056,0.56632,Standing still
-9.7595,0.096549,0.78764,Standing still
-9.6936,0.33857,0.89363,Standing still
-9.7817,0.19472,1.0491,Standing still
-9.6884,0.075603,0.93312,Standing still
-9.6159,-0.013764,0.85139,Standing still
-9.6812,0.22043,0.59879,Standing still
-9.7478,0.015089,0.86452,Standing still
-9.5204,0.26377,0.46584,Standing still
-9.7562,0.43834,0.95524,Standing still
-9.6829,0.30756,0.97505,Standing still
-9.8419,0.17741,0.70018,Standing still
-9.6997,0.13783,0.75977,Standing still
-9.574,-0.085462,0.99231,Standing still
-9.7047,0.38734,1.0559,Standing still
-9.869,0.016402,0.612,Standing still
-9.7482,0.036531,0.74013,Standing still
-9.7243,0.35876,0.86387,Standing still
-9.9251,0.29663,0.81617,Standing still
-9.7888,0.045481,0.81462,Standing still
-9.7401,0.13743,0.75974,Standing still
-9.6822,0.2712,0.57178,Standing still
-9.8215,0.16741,0.7098,Standing still
-9.7402,0.139,0.60198,Standing still
-9.6864,-0.021511,0.54543,Standing still
-9.8863,0.37754,0.8445,Standing still
-9.9671,0.37694,0.8234,Standing still
-9.8952,0.31637,0.89163,Standing still
-9.7356,0.41857,0.93241,Standing still
-9.7807,0.14795,0.67647,Standing still
-9.653,0.32878,0.90327,Standing still
-9.8365,0.4101,0.66849,Standing still
-9.6321,0.29083,0.67881,Standing still
-9.468,0.16947,0.85736,Standing still
-9.8587,0.50975,0.78272,Standing still
-9.7105,0.17,0.56267,Standing still
-9.7102,0.15801,0.75106,Standing still
-9.734,0.33775,0.93566,Standing still
-9.7884,0.026878,0.65505,Standing still
-9.6278,0.078206,0.73335,Standing still
-9.4776,0.14089,0.67584,Standing still
-9.6975,0.028417,0.59203,Standing still
-9.6121,0.30175,0.61663,Standing still
-9.8637,0.25792,0.70742,Standing still
-9.8961,0.35926,0.64286,Standing still
-9.7494,0.09665,0.78765,Standing still
-9.6814,0.22916,0.73641,Standing still
-9.5824,0.3319,0.66145,Standing still
-9.9634,0.18881,0.44857,Standing still
-9.1065,0.27422,0.84573,Standing still
-9.6911,0.21108,0.51373,Standing still
-9.6092,0.15902,0.75115,Standing still
-9.9655,0.29528,0.91079,Standing still
-9.768,0.016359,0.71726,Standing still
-9.6793,0.12763,0.79043,Standing still
-9.7074,0.016019,0.81197,Standing still
-9.7284,0.056492,0.78403,Standing still
-9.6979,0.048387,0.61488,Standing still
-9.5192,0.2004,0.74435,Standing still
-9.8015,0.17781,0.70021,Standing still
-9.854,0.27621,0.90907,Standing still
-10.039,0.4373,0.7762,Standing still
-9.626,-0.012182,0.68311,Standing still
-9.6113,0.26013,0.7392,Standing still
-9.6385,0.10753,0.8202,Standing still
-9.5082,0.15772,0.98262,Standing still
-9.8219,0.69219,0.75703,Standing still
-9.5878,0.096582,0.95606,Standing still
-9.4797,0.2482,1.0539,Standing still
-9.7401,0.13869,0.63353,Standing still
-9.546,0.0293,0.65527,Standing still
-9.7147,0.38052,0.71846,Standing still
-9.9708,0.052808,0.91002,Standing still
-9.6108,0.23627,1.1055,Standing still
-9.7843,0.32768,0.88212,Standing still
-9.5967,0.037519,0.79285,Standing still
-9.8027,0.23593,0.94755,Standing still
-9.6508,0.21569,1.1036,Standing still
-9.7682,0.026239,0.7392,Standing still
-9.6298,0.17679,0.97381,Standing still
-9.4987,0.18851,0.94328,Standing still
-9.9438,0.21823,0.55648,Standing still
